title,written_time,author,author_num,price,length,img,attend_num,deliver,talk,spam
애플코리아 정품)애플 에어팟 프로 미개봉 새상품 팝니다 양재역 직거래,2021.04.24.,rotino,175,235000,0,0,569,0,1,0
에어팟 프로 미개봉 새제품 판매 (정품),2021.04.24.,Daniel,36,230000,237,2,230,1,1,0
에어팟 프로 미개봉 판매,2021.04.24.,너는나라삼,-1,190000,97,2,-1,1,1,1
에어팟 프로 미개봉 판매 2개,2021.04.24.,너는나라삼,-1,190000,97,2,-1,1,1,1
에어팟 2세대 무선충전 미개봉 새제품 정품,2021.04.24.,-1,-1,160000,-1,-1,-1,-1,-1,0
에어팟프로 미개봉 새상품,2021.04.23.,우아오앙아,41,230000,55,2,"1,490",1,1,0
에어팟 프로 미개봉 판매 2개,2021.04.23.,너는나라삼,-1,195000,97,2,-1,1,1,1
에어팟프로 미개봉팝니다,2021.04.23.,주안입니다만,234,220000,136,1,"1,114",1,1,0
애플 에어팟 프로 새제품 판매합니다.,2021.04.23.,-1,-1,2300,-1,-1,-1,-1,-1,2
애플워치SE 미개봉 실버 44mm gps,2021.04.23.,-1,-1,370000,-1,-1,-1,-1,-1,0
갤럭시 액티브2,2021.04.23.,싸그리다모아,20,240000,163,2,"2,097",0,1,0
애플워치SE 미개봉 스그 40mm GPS,2021.04.23.,-1,-1,340000,-1,-1,-1,-1,-1,0
에어팟 프로 미개봉 판매 2개,2021.04.23.,너는나라삼,-1,195000,200,2,-1,1,1,1
에어팟 프로(2021.02) 미개봉 판매합니다,2021.04.23.,cjsfkdtjdm,2,230000,152,1,100,1,1,0
에어팟 프로 미개봉 판매 2개,2021.04.23.,너는나라삼,-1,195000,200,2,-1,1,1,1
에어팟프로 미개봉 판매,2021.04.22.,호두,13,230000,158,1,206,1,1,0
에어팟 프로 미개봉 판매 2개,2021.04.22.,너는나라삼,-1,195000,200,2,-1,1,1,1
에어팟 프로 미개봉 팝니다.,2021.04.22.,포리릐,1,220000,175,3,9,1,1,0
애플워치SE 미개봉 실버 44mm gps,2021.04.22.,-1,-1,370000,-1,-1,-1,-1,-1,0
에어팟 프로 미개봉 판매 2개,2021.04.22.,너는나라삼,-1,195000,200,2,-1,1,1,1
에어팟 프로 미개봉 판매,2021.04.22.,너는나라삼,-1,190000,200,2,-1,1,1,1
에어팟 프로 미개봉 판매중,2021.04.22.,너는나라삼,-1,195000,200,1,-1,1,1,1
애플워치 SE 미개봉 44mm,2021.04.21.,-1,-1,370000,-1,-1,-1,-1,-1,0
에어팟 프로 미개봉 판매,2021.04.21.,너는나라삼,-1,195000,200,2,-1,1,1,1
